module,why_unmounted,suggested_action,route_count,imports_data_layer,lines,origin_pr_or_subject,origin_date,casing_fix
sentinel_external_api_router,BROKEN_IMPORT,"REVIVE (linter --fix, then judge)",5,True,223,build: build_sentinel_external_api_router (#1749),2026-07-23,MCPServerRegistry->McpServerRegistry;MCPLLMAxisScore->McpLlmAxisScore;MCPScoreDispute->McpScoreDispute
server_exemptions_api,BROKEN_IMPORT,"REVIVE (linter --fix, then judge)",4,True,186,build: server_exemptions_api (#1376),2026-07-10,MCPServerRegistry->McpServerRegistry
axis_scores_query_api,BROKEN_IMPORT,"REVIVE (linter --fix, then judge)",3,True,307,build: axis_scores_query_api (#1770),2026-07-24,McpLlmAxisScores->McpLlmAxisScore
risk_tier_axis_score_consumer_router,BROKEN_IMPORT,"REVIVE (linter --fix, then judge)",3,True,223,build: build_risk_tier_axis_score_consumer_router (#1692),2026-07-20,MCPServerRegistry->McpServerRegistry;MCPLLMAxisScores->McpLlmAxisScore
scoring_precision_audit_report,BROKEN_IMPORT,"REVIVE (linter --fix, then judge)",3,True,237,build: scoring_precision_audit_report (#1535),2026-07-16,MCPServerRegistry->McpServerRegistry;MCPLLMAxisScores->McpLlmAxisScore
server_risk_tier_bulk_lookup_api,BROKEN_IMPORT,"REVIVE (linter --fix, then judge)",3,True,156,build: server_risk_tier_bulk_lookup_api (#1405),2026-07-10,MCPServerRegistry->McpServerRegistry;MCPLLMAxisScores->McpLlmAxisScore
server_vuln_advisories_api,BROKEN_IMPORT,"REVIVE (linter --fix, then judge)",3,True,270,build: server_vuln_advisories_api (#1363),2026-07-09,MCPServerRegistry->McpServerRegistry
dispute_summary_api,BROKEN_IMPORT,"REVIVE (linter --fix, then judge)",2,True,89,build: dispute_summary_api (#1499),2026-07-15,MCPScoreDispute->McpScoreDispute
entity_report_exporter_router,BROKEN_IMPORT,"REVIVE (linter --fix, then judge)",2,True,119,build: entity_report_exporter_router (#1651),2026-07-19,MCPServerRegistry->McpServerRegistry;MCPLLMAxisScores->McpLlmAxisScore
fleet_risk_tier_aggregation_api,BROKEN_IMPORT,"REVIVE (linter --fix, then judge)",2,True,202,build: fleet_risk_tier_aggregation_api (#1396),2026-07-10,MCPLLMAxisScore->McpLlmAxisScore
risk_tier_criteria_api,BROKEN_IMPORT,"REVIVE (linter --fix, then judge)",2,True,120,build: risk_tier_criteria_api (#1328),2026-07-07,MCPServerRegistry->McpServerRegistry;MCPLLMAxisScores->McpLlmAxisScore
scoring_consistency_audit_api,BROKEN_IMPORT,"REVIVE (linter --fix, then judge)",2,True,217,build: scoring_consistency_audit_api (#1740),2026-07-22,MCPServerRegistry->McpServerRegistry;MCPLLMAxisScore->McpLlmAxisScore
